word1	word2	label	relation	fold
dagger	bomb	False	other	val
dove	vertebrate	True	hyper	val
violin	club	False	other	val
desk	furnishing	True	hyper	val
grasshopper	bug	True	hyper	val
trumpet	cyst	False	other	val
food	cranberry	False	other	val
sieve	kitchenware	True	hyper	val
phone	system	True	hyper	val
spear	artefact	True	hyper	val
spoon	axe	False	other	val
pigeon	creature	True	hyper	val
creature	dolphin	False	other	val
sheep	animal	True	hyper	val
ferry	outfielder	False	other	val
dagger	artifact	True	hyper	val
mug	artefact	True	hyper	val
cloth	table	False	other	val
butt	gun	False	other	val
cow	cattle	True	hyper	val
whale	mammal	True	hyper	val
radio	device	True	hyper	val
cod	food	True	hyper	val
blouse	clothes	True	hyper	val
peel	banana	False	other	val
good	stove	False	other	val
cucumber	garlic	False	other	val
giraffe	violin	False	other	val
cloak	covering	True	hyper	val
goat	beast	True	hyper	val
dishwasher	fridge	False	other	val
radio	object	True	hyper	val
body	moth	False	other	val
villa	pub	False	other	val
pine	tree	True	hyper	val
rifle	artefact	True	hyper	val
cottage	structure	True	hyper	val
wardrobe	object	True	hyper	val
potato	produce	True	hyper	val
jacket	hat	False	other	val
scarf	trouser	False	other	val
pub	structure	True	hyper	val
truck	helicopter	False	other	val
bomb	thoroughfare	False	other	val
muzzle	revolver	False	other	val
bull	creature	True	hyper	val
coat	commodity	True	hyper	val
pig	vertebrate	True	hyper	val
villa	wood	False	other	val
blouse	commodity	True	hyper	val
saxophone	artefact	True	hyper	val
flute	instrument	True	hyper	val
dolphin	parliament	False	other	val
object	box	False	other	val
lizard	vertebrate	True	hyper	val
dolphin	animal	True	hyper	val
swan	bird	True	hyper	val
phone	artefact	True	hyper	val
spoon	artifact	True	hyper	val
potato	stooge	False	other	val
trout	fish	True	hyper	val
robe	front	False	other	val
freezer	directory	False	other	val
antenna	stereo	False	other	val
jam	jar	False	other	val
television	system	True	hyper	val
shirt	garment	True	hyper	val
banana	fruit	True	hyper	val
whale	vertebrate	True	hyper	val
dog	bear	False	other	val
screwdriver	utensil	True	hyper	val
castle	housing	True	hyper	val
castle	door	False	other	val
kitchenware	jar	False	other	val
lizard	alligator	False	other	val
pistol	artefact	True	hyper	val
scarf	good	True	hyper	val
blouse	object	True	hyper	val
rat	beast	True	hyper	val
library	construction	True	hyper	val
priest	pistol	False	other	val
spoon	head	False	other	val
tightrope	hotel	False	other	val
jacket	artifact	True	hyper	val
falcon	predator	True	hyper	val
jet	aircraft	True	hyper	val
dresser	furniture	True	hyper	val
giraffe	leg	False	other	val
horse	vertebrate	True	hyper	val
stereo	object	True	hyper	val
jaw	bear	False	other	val
fork	hatchet	False	other	val
wrench	croatia	False	other	val
housing	villa	False	other	val
pig	animal	True	hyper	val
horse	head	False	other	val
rifle	revolver	False	other	val
brick	pub	False	other	val
hammer	utensil	True	hyper	val
blouse	wear	True	hyper	val
telephone	stove	False	other	val
goldfish	creature	True	hyper	val
rodent	rat	False	other	val
cherry	grape	False	other	val
battleship	glider	False	other	val
cashmere	scarf	False	other	val
goat	animal	True	hyper	val
transport	bus	False	other	val
sweater	artefact	True	hyper	val
penguin	vertebrate	True	hyper	val
jacket	object	True	hyper	val
falcon	claw	False	other	val
equipment	radio	False	other	val
deer	ear	False	other	val
overhaul	goat	False	other	val
appliance	stove	False	other	val
tanker	ferry	False	other	val
coyote	head	False	other	val
object	trumpet	False	other	val
rabbit	herbivore	True	hyper	val
helicopter	ambulance	False	other	val
glove	apparel	True	hyper	val
object	missile	False	other	val
castle	edifice	True	hyper	val
creature	fox	False	other	val
freezer	appliance	True	hyper	val
cottage	building	True	hyper	val
giraffe	mammal	True	hyper	val
sword	artefact	True	hyper	val
cabbage	produce	True	hyper	val
mug	kitchenware	True	hyper	val
phone	commodity	True	hyper	val
fork	cutlery	True	hyper	val
snake	reptile	True	hyper	val
hospital	building	True	hyper	val
grasshopper	insect	True	hyper	val
box	artifact	True	hyper	val
phone	washer	False	other	val
yacht	bus	False	other	val
tiger	animal	True	hyper	val
jacket	glove	False	other	val
robe	good	True	hyper	val
boat	yacht	False	other	val
violin	artefact	True	hyper	val
kitchenware	fork	False	other	val
sieve	object	True	hyper	val
object	phone	False	other	val
airplane	jet	False	other	val
hatchet	utensil	True	hyper	val
head	beetle	False	other	val
saxophone	fare	False	other	val
sheep	mammal	True	hyper	val
guitar	liturgy	False	other	val
tuna	seafood	True	hyper	val
salmon	head	False	other	val
elevator	library	False	other	val
hotel	edifice	True	hyper	val
plum	gunman	False	other	val
conveyance	glider	False	other	val
cloak	apparel	True	hyper	val
stove	commodity	True	hyper	val
ruminant	goat	False	other	val
artefact	sieve	False	other	val
hammer	artifact	True	hyper	val
gun	object	True	hyper	val
ear	corn	False	other	val
fruit	cherry	False	other	val
root	acacia	False	other	test
alligator	beast	True	hyper	test
artifact	bag	False	other	test
shirt	clothes	True	hyper	test
grain	corn	False	other	test
shirt	commodity	True	hyper	test
creature	cod	False	other	test
villa	dwelling	True	hyper	test
spinach	cucumber	False	other	test
gun	pistol	False	other	test
cathedral	pub	False	other	test
engine	ferry	False	other	test
sword	artifact	True	hyper	test
transport	car	False	other	test
cloak	artefact	True	hyper	test
deer	bear	False	other	test
table	artifact	True	hyper	test
piano	furniture	True	hyper	test
freezer	good	True	hyper	test
canine	coyote	False	other	test
van	conveyance	True	hyper	test
good	washer	False	other	test
fighter	artifact	True	hyper	test
elephant	beaver	False	other	test
onion	dresser	False	other	test
motorcycle	sauce	False	other	test
lemon	food	True	hyper	test
cow	hoof	False	other	test
construction	hotel	False	other	test
bomb	artefact	True	hyper	test
birch	cypress	False	other	test
interior	fighter	False	other	test
spoon	wrench	False	other	test
dishwasher	object	True	hyper	test
artefact	stereo	False	other	test
donkey	hair	False	other	test
dishwasher	device	True	hyper	test
frigate	ship	True	hyper	test
whale	donkey	False	other	test
goldfish	animal	True	hyper	test
bicycle	car	False	other	test
artifact	violin	False	other	test
cod	carp	False	other	test
ferry	vessel	True	hyper	test
helicopter	aircraft	True	hyper	test
rabbit	rat	False	other	test
cello	parking	False	other	test
shirt	good	True	hyper	test
scale	herring	False	other	test
snout	donkey	False	other	test
bout	cello	False	other	test
bodice	dress	False	other	test
seafood	trout	False	other	test
parsley	seasoning	True	hyper	test
rat	lion	False	other	test
toad	frog	False	other	test
hat	artefact	True	hyper	test
goat	food	True	hyper	test
owl	pigeon	False	other	test
desk	beating	False	other	test
garlic	food	True	hyper	test
cello	object	True	hyper	test
cottage	castle	False	other	test
library	site	True	hyper	test
food	turtle	False	other	test
oil	motorcycle	False	other	test
bulb	turnip	False	other	test
rabbit	mammal	True	hyper	test
artifact	bomb	False	other	test
dove	bounce	False	other	test
helicopter	artifact	True	hyper	test
beast	cat	False	other	test
cypress	tree	True	hyper	test
glove	artefact	True	hyper	test
cat	pet	True	hyper	test
swan	creature	True	hyper	test
bowl	utensil	True	hyper	test
tanker	ship	True	hyper	test
point	screwdriver	False	other	test
carp	creature	True	hyper	test
cannon	arm	True	hyper	test
pheasant	creature	True	hyper	test
artefact	grenade	False	other	test
beet	root	True	hyper	test
catfish	vertebrate	True	hyper	test
helicopter	craft	True	hyper	test
hatchet	weapon	True	hyper	test
snake	animal	True	hyper	test
ear	squirrel	False	other	test
chair	scroll	False	other	test
squirrel	animal	True	hyper	test
vulture	scavenger	True	hyper	test
pheasant	bird	True	hyper	test
artefact	bowl	False	other	test
owl	vertebrate	True	hyper	test
beak	crow	False	other	test
jet	vehicle	True	hyper	test
gorilla	primate	True	hyper	test
workload	cloak	False	other	test
construction	castle	False	other	test
artifact	spear	False	other	test
carrot	produce	True	hyper	test
coat	opposition	False	other	test
radio	canvas	False	other	test
inside	dishwasher	False	other	test
covering	jacket	False	other	test
hospital	structure	True	hyper	test
broccoli	food	True	hyper	test
rifle	artifact	True	hyper	test
screwdriver	artefact	True	hyper	test
stone	cherry	False	other	test
glove	artifact	True	hyper	test
exterior	mug	False	other	test
glider	artifact	True	hyper	test
whale	cod	False	other	test
implementer	lion	False	other	test
truck	vehicle	True	hyper	test
jacket	good	True	hyper	test
goat	antelope	False	other	test
car	conveyance	True	hyper	test
cottage	home	True	hyper	test
scarf	object	True	hyper	test
robe	hat	False	other	test
woodpecker	animal	True	hyper	test
fighter	airplane	True	hyper	test
cabbage	food	True	hyper	test
fleece	jacket	False	other	test
tuna	animal	True	hyper	test
radio	commodity	True	hyper	test
shirt	artifact	True	hyper	test
glove	object	True	hyper	test
television	channel	False	other	test
inn	pub	False	other	test
artifact	desk	False	other	test
tooth	snake	False	other	test
tool	hatchet	False	other	test
metal	sieve	False	other	test
tiger	bull	False	other	test
leek	potato	False	other	test
glove	garment	True	hyper	test
fold	sweater	False	other	test
food	beet	False	other	test
vulture	animal	True	hyper	test
ear	gorilla	False	other	test
revolver	arm	True	hyper	test
donkey	beast	True	hyper	test
sparrow	animal	True	hyper	test
scale	turtle	False	other	test
hornet	creature	True	hyper	test
radio	appliance	True	hyper	test
object	vest	False	other	test
spade	shovel	False	other	test
pine	tooling	False	other	test
deer	herbivore	True	hyper	test
appliance	phone	False	other	test
rifle	hockey	False	other	test
artifact	blouse	False	other	test
alligator	eye	False	other	test
camcorder	yacht	False	other	test
cherry	produce	True	hyper	test
plastic	fork	False	other	test
van	artefact	True	hyper	test
car	yacht	False	other	test
outside	hat	False	other	test
crow	creature	True	hyper	test
object	axe	False	other	test
plum	produce	True	hyper	test
device	rifle	False	other	test
learner	fridge	False	other	test
moth	insect	True	hyper	test
whale	trout	False	other	test
train	artefact	True	hyper	test
pigeon	vertebrate	True	hyper	test
herb	parsley	False	other	test
spoon	screwdriver	False	other	test
silk	vest	False	other	test
shirt	hieroglyphic	False	other	test
fridge	test	False	other	test
vertebrate	frog	False	other	test
bag	incontinence	False	other	test
creature	ant	False	other	test
van	transport	True	hyper	test
rabbit	sheep	False	other	test
missile	artefact	True	hyper	test
oven	good	True	hyper	test
warehouse	villa	False	other	test
ferry	artefact	True	hyper	test
bottom	bag	False	other	test
knife	kitchenware	True	hyper	test
dress	clothes	True	hyper	test
canoe	ferry	False	other	test
pistol	cartridge	False	other	test
goat	ear	False	other	test
radish	vinyl	False	other	test
villa	edifice	True	hyper	test
knife	artefact	True	hyper	test
broccoli	film	False	other	test
spinach	cauliflower	False	other	test
saw	tool	True	hyper	test
bookshop	stove	False	other	test
steel	wrench	False	other	test
turtle	eye	False	other	test
lion	creature	True	hyper	test
lime	fruit	True	hyper	test
cow	mammal	True	hyper	test
windshield	jet	False	other	test
parsley	minibus	False	other	test
fighter	conveyance	True	hyper	test
scissors	hammer	False	other	test
cottage	dwelling	True	hyper	test
shovel	artifact	True	hyper	test
donkey	creature	True	hyper	test
institution	library	False	other	test
cathedral	site	True	hyper	test
radish	vegetable	True	hyper	test
vehicle	ambulance	False	other	test
jacket	cloak	False	other	test
washer	affluence	False	other	test
robe	covering	True	hyper	test
arm	dagger	False	other	test
bottom	guitar	False	other	test
cat	inception	False	other	test
inflow	catfish	False	other	test
rabbit	leg	False	other	test
apricot	fruit	True	hyper	test
ambulance	transport	True	hyper	test
fleece	coat	False	other	test
top	piano	False	other	test
achiever	cannon	False	other	test
sparrow	football	False	other	test
axe	artefact	True	hyper	test
building	restaurant	False	other	test
deer	rabbit	False	other	test
back	robe	False	other	test
robe	commodity	True	hyper	test
back	coat	False	other	test
jacket	garment	True	hyper	test
mug	artifact	True	hyper	test
lemon	citrus	True	hyper	test
grapefruit	produce	True	hyper	test
respect	jar	False	other	test
scarf	garrison	False	other	test
bagpipe	guitar	False	other	test
battleship	warship	True	hyper	test
